Place,Date,Time,Value,Unit
332,5/19/24,12:32:15,74400,LUX     
333,5/19/24,12:42:15,99999,LUX     
334,5/19/24,12:52:15,99999,LUX     
335,5/19/24,13:02:15,99999,LUX     
336,5/19/24,13:12:15,96400,LUX     
337,5/19/24,13:22:15,64200,LUX     
338,5/19/24,13:32:15,15320,LUX     
339,5/19/24,13:42:15,10740,LUX     
340,5/19/24,13:52:15,16230,LUX     
341,5/19/24,14:02:15,35100,LUX     
342,5/19/24,14:12:15,40700,LUX     
343,5/19/24,14:22:15,19000,LUX     
344,5/19/24,14:32:15,19800,LUX     
345,5/19/24,14:42:15,22600,LUX     
346,5/19/24,14:52:15,12240,LUX     
347,5/19/24,15:02:15,7810,LUX     
348,5/19/24,15:12:15,3740,LUX     
349,5/19/24,15:22:15,1870,LUX     
350,5/19/24,15:32:15,2270,LUX     
351,5/19/24,15:42:15,3800,LUX     
352,5/19/24,15:52:15,4960,LUX     
353,5/19/24,16:02:15,9730,LUX     
354,5/19/24,16:12:15,8080,LUX     
355,5/19/24,16:22:15,13520,LUX     
356,5/19/24,16:32:15,12810,LUX     
357,5/19/24,16:42:15,13710,LUX     
358,5/19/24,16:52:15,17510,LUX     
359,5/19/24,17:02:15,9830,LUX     
360,5/19/24,17:12:15,7550,LUX     
361,5/19/24,17:22:15,4570,LUX     
362,5/19/24,17:32:15,3290,LUX     
363,5/19/24,17:42:15,2150,LUX     
364,5/19/24,17:52:15,1609,LUX     
365,5/19/24,18:02:15,1056,LUX     
366,5/19/24,18:12:15,471,LUX     
367,5/19/24,18:22:15,217,LUX     
368,5/19/24,18:32:15,76,LUX     
369,5/19/24,18:42:15,7,LUX     
370,5/19/24,18:52:15,0,LUX     
371,5/19/24,19:02:15,0,LUX     
372,5/19/24,19:12:15,0,LUX     
373,5/19/24,19:22:15,0,LUX     
374,5/19/24,19:32:15,0,LUX     
375,5/19/24,19:42:15,0,LUX     
376,5/19/24,19:52:15,0,LUX     
377,5/19/24,20:02:15,0,LUX     
378,5/19/24,20:12:15,0,LUX     
379,5/19/24,20:22:15,0,LUX     
380,5/19/24,20:32:15,0,LUX     
381,5/19/24,20:42:15,0,LUX     
382,5/19/24,20:52:15,0,LUX     
383,5/19/24,21:02:15,0,LUX     
384,5/19/24,21:12:15,0,LUX     
385,5/19/24,21:22:15,0,LUX     
386,5/19/24,21:32:15,0,LUX     
387,5/19/24,21:42:15,0,LUX     
388,5/19/24,21:52:15,0,LUX     
389,5/19/24,22:02:15,0,LUX     
390,5/19/24,22:12:15,0,LUX     
391,5/19/24,22:22:15,0,LUX     
392,5/19/24,22:32:15,0,LUX     
393,5/19/24,22:42:15,0,LUX     
394,5/19/24,22:52:15,0,LUX     
395,5/19/24,23:02:15,0,LUX     
396,5/19/24,23:12:15,0,LUX     
397,5/19/24,23:22:15,0,LUX     
398,5/19/24,23:32:15,0,LUX     
399,5/19/24,23:42:15,0,LUX     
400,5/19/24,23:52:15,0,LUX     
401,5/20/24,0:02:15,0,LUX     
402,5/20/24,0:12:15,0,LUX     
403,5/20/24,0:22:15,0,LUX     
404,5/20/24,0:32:15,0,LUX     
405,5/20/24,0:42:15,0,LUX     
406,5/20/24,0:52:15,0,LUX     
407,5/20/24,1:02:15,0,LUX     
408,5/20/24,1:12:15,0,LUX     
409,5/20/24,1:22:15,0,LUX     
